"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"LRRC59"	1.07365692837298	5.07321583120526	14.464911338566	1.61135031916418e-27	1.10366460216724e-25	52.0211515349402
"TGFBR2"	-1.45553222681298	6.11663818625053	-14.4028224365034	2.21367135854814e-27	1.50589888336608e-25	51.7050122729726
"ST14"	1.4613700466586	5.36487239422053	14.3908298660929	2.35382386199969e-27	1.59042152837817e-25	51.6439016491286
"CPSF3"	0.843909850786141	3.41383294998535	14.344327459368	2.9868757718092e-27	2.00461461195248e-25	51.4067933224836
"ACOXL"	-1.30313922344294	1.37167591521449	-14.3402863651915	3.04937745379271e-27	2.03291830252847e-25	51.3861775192467
"AGTR1"	-1.14159883804229	1.07120123939487	-14.2875118066501	3.99703176323886e-27	2.64704090280719e-25	51.1167865310645
"RMI2"	1.46245890347865	1.77855497651348	14.2832222523126	4.08597651714364e-27	2.68814244548923e-25	51.0948772521609
"CAVIN1"	-1.77834417954965	6.670182350065	-14.2812075237847	4.12843554429124e-27	2.69832388515768e-25	51.0845861756564
"MFNG"	-1.40420975818912	3.24857391618947	-14.2507898525394	4.82604299038789e-27	3.13379414960252e-25	50.9291629679578
"GALNT18"	-1.42456237399421	3.63488943862237	-14.2481395242812	4.89216597873708e-27	3.15623611531425e-25	50.9156161348134
"GAPDH"	1.6461702218	8.55755065532246	14.2311456514131	5.33830814400957e-27	3.42199240000614e-25	50.8287364367735
"AVPR2"	-0.826022211609744	0.70374814355683	-14.2290851600432	5.39510837397879e-27	3.43637476049604e-25	50.8182002897077
"TPX2"	2.68958244601888	2.42831577918398	14.218462617473	5.69770500176647e-27	3.60614240618131e-25	50.7638757500802
"SLC16A11"	-1.35469290333293	1.47373840587126	-14.2096492934468	5.96165897760256e-27	3.74947105509595e-25	50.7187947156961
"MCTS1"	0.931952874406841	3.34160742765061	14.2010250374718	6.23183305149459e-27	3.89489565718412e-25	50.6746729057032
"SMIM25"	-2.11410546097272	3.36104662382329	-14.1738856069584	7.16491405714592e-27	4.4502571783515e-25	50.5357764740068
"EARS2"	0.701262624709123	2.40568980572544	14.1610889970224	7.65233568376733e-27	4.72366400232551e-25	50.4702582656659
"UBFD1"	0.889932389791755	2.80839161602325	14.1440068531001	8.35527828261728e-27	5.12593759669772e-25	50.3827717186035
"ADAMTSL3"	-1.23775268046567	1.41017284422954	-14.1250549478137	9.2112986906746e-27	5.61664554309427e-25	50.2856737079135
"THBD"	-2.04102398517982	4.54123852710202	-14.1153367643849	9.68386053702552e-27	5.86900638607608e-25	50.2358692308513
"SLIT2"	-1.78261646618412	2.78235993478496	-14.1016629544142	1.03902802003216e-26	6.25920493995276e-25	50.1657761307979
"SLC1A1"	-2.11625855189061	3.31056529893224	-14.0662181507617	1.2471866692639e-26	7.4681836482868e-25	49.9839933648013
"SEMA6A"	-1.53572202894268	1.55701166248796	-14.0587971610133	1.29581287489382e-26	7.71317187436796e-25	49.9459176143679
"PLK1"	1.90436544855051	1.56547499402148	14.0570408027578	1.30759727963112e-26	7.72354318214756e-25	49.9369052326384
"MRGBP"	0.901704994040176	2.75365621425114	14.0562405363315	1.31300234096509e-26	7.72354318214756e-25	49.9327987294948
"FAM98A"	0.709399900872982	3.05229874586965	14.0406325309702	1.42302191681069e-26	8.32176559538415e-25	49.8526943844842
"GYPC"	-1.44989232954819	3.52189588213239	-14.0208873296686	1.57556497304285e-26	9.16026147117936e-25	49.7513211924651
"NLRC4"	-1.28178682984623	1.82666573343092	-14.0197437498493	1.58488663953375e-26	9.16119444817197e-25	49.7454487579435
"SRPRB"	1.00279207227351	3.91967433633289	13.9682001261004	2.06789308829005e-26	1.18844430361497e-24	49.4806273454228
"GLDN"	-1.60309427518795	1.56959891685178	-13.9642492642345	2.11051469184611e-26	1.20600839534063e-24	49.46031744991
"THSD1"	-1.45023068251267	1.9046283980904	-13.9222379455235	2.62208259426425e-26	1.48981965583196e-24	49.2442556816141
"HMGA1"	2.11501635164	5.55648753351351	13.914646616503	2.72701024770638e-26	1.54068375576632e-24	49.205194983105
"WDR12"	0.771408628831929	1.72347956304421	13.9033551570453	2.89093003065414e-26	1.62411799474952e-24	49.1470848130685
"TACC1"	-1.55439064681351	4.0127257610943	-13.8856798367237	3.1676132692696e-26	1.76742884430369e-24	49.056095241022
"C11orf24"	1.00488153538544	3.542818062755	13.8848418352416	3.18137191974664e-26	1.76742884430369e-24	49.0517805757153
"ZFP64"	0.625848662191771	1.70765352525271	13.8690710761988	3.45178601281772e-26	1.9070640954794e-24	48.9705677255739
"MTMR10"	-0.833076426291579	2.27387238517965	-13.8446477169767	3.91681313037151e-26	2.15209512657775e-24	48.8447487577406
"ACE"	-1.48338848286386	3.15463115328246	-13.842725585406	3.95597683692529e-26	2.16173597646191e-24	48.8348442241958
"SFXN4"	1.15486231679912	3.17392838058939	13.8287468703681	4.25287114274167e-26	2.3113430123596e-24	48.7628024314091
"CTXND1"	-1.14705162872134	0.787810424841418	-13.8140392281999	4.58942896526403e-26	2.48077241365623e-24	48.6869831305622
"FHL2"	2.09704555730207	2.51950114066347	13.7893276759297	5.21619814768927e-26	2.80440760628455e-24	48.5595447179149
"ANGPT1"	-1.65833881826813	2.14596263990734	-13.768306500535	5.81657829046255e-26	3.11046967404414e-24	48.4510905116075
"ANLN"	2.32854382182968	1.7775127576624	13.760931613192	6.04325761175554e-26	3.2144987296572e-24	48.4130311240786
"MBNL1-AS1"	-0.795556713067965	0.968588331990561	-13.7417689036332	6.6745824821999e-26	3.53152512285709e-24	48.314113805988
"NABP2"	0.940152826045263	3.62122486629298	13.7322797535923	7.01130311489517e-26	3.69015953415535e-24	48.2651178601631
"JPT2"	1.07740981128912	4.56879367714439	13.7190426010255	7.5096944390461e-26	3.93177719321785e-24	48.1967549902481
"MCM4"	1.8109611483393	2.79745822493158	13.6951726351882	8.50002938548718e-26	4.42709863827458e-24	48.0734363583971
"PRMT3"	0.677933872278948	1.74373854081965	13.6927456269812	8.60779208313874e-26	4.45999589799935e-24	48.0608946989852
"PROM2"	2.07619621529428	2.71403704397289	13.6782660151002	9.27981089405095e-26	4.76063910607005e-24	47.9860589352945
"DPYSL2"	-1.37214929308439	5.2610533294136	-13.6781947318735	9.28324625683659e-26	4.76063910607005e-24	47.9856904683579
"KNOP1"	0.798832699201333	1.47857004709056	13.6675752851605	9.80955490023704e-26	5.00487494910053e-24	47.9307925007883
"AFF3"	-1.34297331034676	1.26379064375679	-13.6639650238824	9.9952208846733e-26	5.07371618511335e-24	47.9121265353857
"IL3RA"	-1.45941882075403	3.52645381101298	-13.6541101753492	1.05201806203009e-25	5.3132225355055e-24	47.8611681041999
